maxPrice,essence,diesel,hybrid,elec,manual,auto,id
25000,t,f,t,t,t,t,57
-1,t,f,f,f,t,f,27
25000,t,f,t,t,t,t,28
13000,t,t,f,f,t,f,29
64000,t,t,f,f,f,t,30
30000,t,f,f,t,t,t,31
7000,t,t,f,f,t,t,32
4000,f,f,f,t,f,t,33
34000,t,t,f,f,t,f,34
-1,t,f,t,f,f,t,35
3000,t,t,t,t,t,f,36
5000,t,f,f,f,f,t,37
15000,t,f,f,f,t,f,38
5000,t,f,f,f,t,f,39
18000,t,f,f,f,f,t,40
-1,t,f,f,f,f,t,41
27000,t,t,t,t,t,t,43
5000,t,f,f,f,t,f,44
10000,t,f,t,t,t,t,45
10000,t,f,t,t,t,t,46
10000,t,f,t,t,t,t,47
-1,t,f,t,t,t,t,49
35000,t,f,t,t,t,t,48
7000,f,t,f,f,t,f,50
9000,f,t,f,f,t,f,51
15000,t,f,t,t,t,f,52
-1,t,t,t,t,t,t,53
-1,f,f,f,f,f,f,54
-1,f,t,f,f,f,t,55
25000,t,f,t,t,t,t,56
5000,t,f,f,f,t,f,58
50000,t,f,t,f,f,t,59
-1,t,t,t,t,t,t,60
40000,f,f,t,t,t,t,61
27000,f,t,f,f,t,t,62
-1,f,f,f,f,f,f,63
69000,f,f,t,f,f,t,64
15000,f,t,f,f,t,f,65
14000,f,t,f,f,t,t,66
14000,f,t,f,f,t,t,67
14000,f,t,f,f,f,f,68
-1,t,t,f,t,t,t,69
-1,t,f,f,f,t,f,70
5000,t,f,f,f,t,f,71
25000,t,f,t,f,t,f,72
72000,t,t,f,f,f,t,73
32000,t,f,f,t,t,f,42
40000,t,f,t,t,t,t,74
20000,f,f,t,t,t,t,75
100000,f,f,t,t,t,t,76
30000,f,f,t,f,t,t,77
61000,t,t,t,t,t,t,78
10000,t,t,f,f,t,f,79
60000,t,f,t,f,f,t,80
60000,t,f,t,f,f,t,81
45000,t,t,t,t,t,t,82
10000,t,f,t,f,f,f,83
-1,t,t,f,t,t,t,84
20000,f,t,t,t,t,t,85
50000,t,f,t,t,f,t,86
10000,t,t,f,f,t,f,87
10000,t,t,f,f,t,f,88
10000,t,t,f,f,t,f,89
20000,t,t,f,t,t,t,90
-1,t,t,f,f,t,t,91
21000,t,t,f,f,t,f,92
15000,f,t,f,f,t,f,93
15000,f,t,f,f,t,f,94
11000,f,t,f,f,t,f,95
28000,t,t,f,f,f,t,96
