brand,model,dealer,url,price,year,km,fuel,gearbox,color,doors,seats,fiscalPower,DINPower,critAir,nb_img,link,car_id
CITROEN,C3,sofibrie,https://www.leboncoin.fr/voitures/2221069564.htm,12890,2017,60933,Essence,Manuelle,Blanc,5,5,4,82,1,7,"",2
RENAULT,Talisman,sofibrie,https://www.leboncoin.fr/voitures/2218598351.htm,24900,2019,63510,Essence,Automatique,Gris,5,5,8,159,1,20,"",3
RENAULT,Kadjar,sofibrie,https://www.leboncoin.fr/voitures/2229908445.htm,20890,2019,58858,Diesel,Manuelle,Gris,5,5,6,116,2,20,"",4
RENAULT,Koleos,sofibrie,https://www.leboncoin.fr/voitures/2301949775.htm,36490,2022,64,Essence,Automatique,Noir,5,5,8,158,1,20,"",5
CITROEN,C3,sofibrie,https://www.leboncoin.fr/voitures/2274683789.htm,14890,2021,42555,Essence,Manuelle,Gris,5,5,4,83,1,20,"",6
NISSAN,Micra,sofibrie,https://www.leboncoin.fr/voitures/2303032779.htm,13690,2019,38059,Essence,Manuelle,Blanc,5,5,5,101,1,18,"",8
RENAULT,Clio,sofibrie,https://www.leboncoin.fr/voitures/2304679188.htm,13890,2020,55657,Diesel,Manuelle,Gris,5,5,4,86,2,20,"",9
RENAULT,Twingo,sofibrie,https://www.leboncoin.fr/voitures/2304679721.htm,14590,2019,30559,Essence,Automatique,Noir,5,4,5,90,1,17,"",10
CITROEN,C3 Aircross,sofibrie,https://www.leboncoin.fr/voitures/2304679481.htm,16480,2020,58365,Essence,Manuelle,Blanc,5,5,6,110,1,20,"",11
DACIA,Sandero,sofibrie,https://www.leboncoin.fr/voitures/2304680154.htm,10900,2019,62863,Essence,Manuelle,Gris,5,5,4,73,1,19,"",12
RENAULT,Kadjar,sofibrie,https://www.leboncoin.fr/voitures/2304680393.htm,20490,2017,75394,Essence,Manuelle,Noir,5,5,8,163,1,20,"",13
DACIA,Sandero,sofibrie,https://www.leboncoin.fr/voitures/2296947858.htm,16900,2022,5200,Essence,Manuelle,Gris,5,5,5,91,1,19,"",14
PEUGEOT,2008,sofibrie,https://www.leboncoin.fr/voitures/2305734452.htm,19890,2020,49637,Essence,Manuelle,Blanc,5,5,5,101,1,20,"",15
RENAULT,Megane,sofibrie,https://www.leboncoin.fr/voitures/2305734644.htm,17490,2019,67282,Essence,Manuelle,Gris,5,5,7,140,1,19,"",16
RENAULT,Kangoo,sofibrie,https://www.leboncoin.fr/voitures/2290311216.htm,13890,2015,38809,Essence,Manuelle,Blanc,5,5,6,116,1,13,"",17
