maxPrice,essence,diesel,hybrid,elec,manual,auto,id
17000,t,f,f,f,t,f,2240
17000,t,f,f,f,t,f,2256
32000,t,t,f,f,t,f,2259
-1,f,f,f,f,f,f,2448
17000,t,f,f,f,t,f,2767
17000,t,f,f,f,t,f,2778
17000,t,f,f,f,t,f,2783
17000,t,f,f,f,t,f,2784
17000,t,f,f,f,t,f,2241
17000,t,f,f,f,t,f,2254
18000,t,f,f,f,t,f,2255
17000,t,f,f,f,t,f,2258
-1,f,f,f,f,f,f,2264
18000,t,f,f,f,t,f,2266
17000,t,f,f,f,t,f,2449
17000,t,f,f,f,t,f,2768
17000,t,f,f,f,t,t,2774
17000,t,f,f,f,t,f,2242
16000,t,f,f,f,t,f,2253
17000,t,f,f,f,t,f,2450
17000,t,f,f,f,t,f,2769
17000,t,f,f,f,t,f,2776
17000,t,f,f,f,t,f,2788
17000,t,f,f,f,t,f,2243
18000,t,f,f,f,t,f,2275
17000,t,f,f,f,t,f,2451
17000,t,t,t,t,t,t,2770
17000,t,f,f,f,t,f,2772
21000,t,f,f,f,t,f,2454
17000,t,f,f,f,t,f,2791
17000,f,t,f,f,t,f,2244
18000,t,f,f,f,t,f,2257
17000,t,f,f,f,t,f,2263
-1,f,f,f,f,f,f,2265
17000,t,f,f,f,t,f,2271
17000,t,f,f,f,t,f,2276
17000,t,f,f,f,t,f,2452
17000,t,t,t,t,t,t,2771
17000,t,f,f,f,t,f,2777
17000,t,f,f,f,t,f,2780
17000,t,f,f,f,t,f,2782
17000,t,f,f,f,t,f,2785
17000,t,f,f,f,t,f,2789
17000,t,f,f,f,t,f,2790
18000,t,f,f,f,t,f,2245
21000,t,f,f,f,t,f,2250
17000,t,f,f,f,t,f,2251
17000,t,f,f,f,t,f,2252
-1,f,f,f,f,f,f,2262
17000,t,f,f,f,t,f,2270
18000,t,f,f,f,t,f,2274
17000,t,f,f,f,t,f,2277
17000,t,f,f,f,t,f,2453
17000,t,f,f,f,t,f,2773
17000,t,f,f,f,t,f,2779
17000,t,f,f,f,t,f,2246
17000,t,f,f,f,t,f,2247
18000,t,f,f,f,t,f,2248
17000,t,f,f,f,t,f,2273
17000,t,f,f,f,t,f,2455
17000,t,f,f,f,t,f,2456
17000,t,f,f,f,t,f,2463
17000,t,f,f,f,t,f,2470
18000,t,f,f,f,t,f,2483
36000,t,f,f,f,t,f,2487
18000,t,f,f,f,t,f,2488
21000,f,t,f,f,t,f,2496
17000,t,f,f,f,t,f,2499
18000,t,f,f,f,t,f,2502
17000,t,f,f,f,t,f,2775
17000,t,f,f,f,t,f,2787
17000,t,f,f,f,t,f,2249
17000,t,f,f,f,t,f,2260
17000,t,f,f,f,t,f,2268
18000,t,f,f,f,t,f,2457
17000,t,f,f,f,t,f,2464
17000,t,f,f,f,t,f,2468
17000,t,f,f,f,t,f,2469
48000,f,t,f,f,f,t,2497
12000,f,t,f,f,t,f,2498
17000,t,f,f,f,t,f,2503
17000,t,f,f,f,t,f,2781
-1,f,f,f,f,f,f,2261
18000,t,f,f,f,t,f,2269
17000,t,f,f,f,t,f,2458
17000,t,f,f,f,t,f,2462
17000,t,f,f,f,t,f,2473
15000,t,f,f,f,t,f,2484
18000,t,f,f,f,t,f,2489
19000,t,f,f,f,t,f,2786
17000,t,f,f,f,t,f,2501
18000,t,f,f,f,t,f,2267
19000,t,f,f,f,t,f,2272
17000,t,f,f,f,t,f,2459
17000,t,f,f,f,t,f,2466
17000,t,f,f,f,t,f,2467
19000,t,f,f,f,t,f,2472
17000,t,f,f,f,t,f,2478
17000,t,f,f,f,t,t,2494
11000,t,f,f,f,t,f,2500
17000,t,f,f,f,t,f,2506
17000,t,f,f,f,t,f,2481
-1,t,t,t,t,t,t,2792
18000,t,f,f,f,t,f,2794
17000,t,f,f,f,t,f,2795
21000,t,f,f,f,t,f,2808
21000,t,f,f,f,t,f,2816
17000,t,f,f,f,t,f,2818
18000,t,f,f,f,t,f,2826
-1,t,f,f,t,t,f,2827
17000,t,f,f,f,t,f,2839
17000,t,f,f,f,t,f,2862
18000,t,f,f,f,t,f,2278
17000,t,f,f,f,t,f,2460
17000,t,f,f,f,t,f,2461
19000,t,f,f,f,t,f,2471
17000,t,f,f,f,t,f,2475
18000,t,f,f,f,t,f,2476
18000,t,f,f,f,t,f,2477
21000,t,f,f,f,f,f,2480
28000,t,f,f,f,t,f,2485
19000,t,f,f,f,t,f,2492
17000,t,f,f,f,t,f,2793
17000,t,f,f,f,f,t,2801
21000,t,f,f,f,t,f,2809
21000,t,f,f,f,t,f,2815
17000,t,f,f,f,t,f,2824
17000,t,f,f,f,t,f,2838
17000,t,f,f,f,t,f,2841
-1,f,f,f,f,f,f,2842
-1,f,f,f,f,f,f,2843
18000,t,f,f,f,t,f,2847
20000,t,f,f,f,t,f,2849
14000,t,f,f,f,t,f,2865
17000,t,f,f,f,t,f,2279
17000,t,f,f,f,t,f,2465
17000,t,f,f,f,t,f,2474
18000,t,f,f,f,t,f,2486
17000,t,f,f,f,t,f,2490
17000,t,f,f,f,t,t,2493
17000,t,f,f,f,t,f,2495
17000,t,f,f,f,t,f,2796
18000,t,f,f,f,t,f,2491
17000,t,f,f,f,t,f,2798
17000,t,f,f,f,t,f,2810
21000,t,f,f,f,f,f,2820
17000,t,f,f,f,t,f,2845
18000,f,f,f,f,f,f,2848
19000,t,f,f,f,t,f,2854
17000,t,f,f,f,t,f,2855
17000,t,f,f,f,t,f,2856
17000,t,f,f,f,t,f,2280
17000,t,f,f,f,t,f,2479
17000,t,f,f,f,t,f,2507
17000,t,f,f,f,t,f,2797
17000,t,f,f,f,t,f,2803
24000,t,f,f,f,t,f,2804
17000,t,f,f,f,t,f,2807
17000,t,f,f,f,t,f,2811
17000,t,f,f,f,t,f,2812
-1,t,f,f,t,f,t,2835
-1,t,f,f,t,t,t,2837
18000,t,f,f,f,t,f,2281
-1,f,f,f,f,f,f,2285
17000,t,f,f,f,t,f,2482
17000,t,f,f,f,t,f,2504
17000,t,f,f,f,t,f,2505
17000,t,f,f,f,t,f,2799
18000,t,f,f,f,t,f,2817
17000,t,f,f,f,t,f,2823
-1,t,f,f,t,t,f,2832
17000,t,f,f,f,t,f,2853
