maxPrice,essence,diesel,hybrid,elec,manual,auto,id
59000,f,t,f,f,t,f,1382
21000,f,t,f,f,t,f,1383
-1,f,f,f,f,f,f,1384
21000,f,t,f,f,t,f,1385
-1,f,f,f,f,f,f,1386
59000,f,t,f,f,t,f,1388
-1,f,f,f,f,f,f,1389
22000,f,t,f,f,t,f,1387
21000,f,t,f,f,t,f,1391
21000,f,t,f,f,t,f,1390
22000,f,t,f,f,f,t,1392
22000,f,t,f,f,t,f,1393
23000,f,t,f,f,t,f,1394
59000,f,t,f,f,t,f,1396
21000,f,t,f,f,t,f,1398
21000,f,t,f,f,t,f,1395
21000,f,t,f,f,t,f,1397
20000,f,t,f,f,t,f,1399
22000,f,t,f,f,t,f,1400
21000,f,t,f,f,t,f,1401
22000,f,t,f,f,t,f,1402
21000,f,t,f,f,t,f,1403
21000,f,t,f,f,t,f,1404
21000,f,t,f,f,t,f,1405
21000,f,t,f,f,t,f,1406
24000,t,t,f,f,t,f,1407
21000,f,t,f,f,t,f,1408
20000,f,t,f,f,t,f,1410
22000,f,t,f,f,t,f,1411
21000,f,t,f,f,t,f,1409
37000,f,t,f,f,t,f,1413
37000,f,t,f,f,t,f,1414
21000,f,t,f,f,t,f,1415
21000,f,t,f,f,t,f,1416
45000,f,t,f,f,t,f,1417
22000,f,t,f,f,t,f,1412
29000,f,f,f,f,f,f,1418
60000,f,t,f,f,t,f,1420
21000,f,t,f,f,t,f,1421
21000,f,t,f,f,t,f,1422
25000,f,t,f,f,t,f,1423
90000,f,t,f,f,t,f,1426
90000,f,t,f,f,t,f,1427
23000,f,t,f,f,t,f,1419
-1,f,t,f,f,t,f,1428
21000,f,t,f,f,t,f,1432
21000,f,t,f,f,t,f,1425
21000,f,t,f,f,t,f,1433
21000,f,t,f,f,t,f,1434
21000,t,f,f,f,t,f,1430
27000,f,t,t,t,t,t,1424
20000,f,t,f,f,t,f,1429
23000,t,t,f,f,t,f,1431
21000,f,t,f,f,t,f,1435
21000,f,t,f,f,t,f,1436
20000,f,t,f,f,t,f,1438
22000,f,t,f,f,t,f,1439
21000,t,t,t,t,t,f,1437
22000,f,t,f,f,t,f,1440
21000,f,t,f,f,t,f,1441
21000,f,t,f,f,t,f,1442
40000,f,t,f,f,t,f,1443
21000,f,t,f,f,t,f,1444
20000,f,t,f,f,t,f,1445
20000,f,t,f,f,t,f,1446
-1,f,f,f,f,f,f,1447
20000,f,t,f,f,t,f,1448
20000,f,t,f,f,t,f,1449
20000,f,t,f,f,t,f,1450
-1,f,t,f,f,t,f,1451
-1,f,t,f,f,t,f,1452
22000,f,t,f,f,t,f,1453
22000,f,t,f,f,t,f,1454
-1,t,t,t,t,t,t,1455
21000,f,t,f,f,t,f,1456
21000,f,t,f,f,t,f,1457
21000,f,t,f,f,t,f,1458
21000,f,t,f,f,t,f,1459
21000,f,t,f,f,t,f,1460
21000,f,t,f,f,t,f,1461
-1,f,f,f,f,f,f,1462
22000,f,t,f,f,t,f,1463
22000,f,t,f,f,t,f,1464
25000,f,t,f,f,t,f,1465
23000,t,t,f,f,t,f,1466
22000,t,t,f,f,t,f,1467
22000,t,t,f,f,t,f,1468
23000,f,t,f,f,t,f,1469
23000,f,t,f,f,t,f,1470
23000,f,t,f,f,t,f,1471
22000,f,t,f,f,t,f,1472
21000,f,t,f,f,t,f,1473
21000,f,t,f,f,t,f,1487
30000,f,t,f,f,t,f,1488
21000,f,t,f,f,t,f,1474
41000,f,t,f,f,t,f,1489
25000,t,t,f,f,t,f,1475
49000,f,t,f,f,t,f,1490
67000,f,t,f,f,t,f,1476
39000,f,t,f,f,f,t,1477
23000,f,t,f,f,t,f,1478
50000,f,t,f,f,t,f,1479
22000,f,t,f,f,t,f,1480
24000,f,t,f,f,t,f,1481
21000,f,t,f,f,t,f,1482
21000,f,t,f,f,t,f,1483
24000,f,t,f,f,t,f,1484
59000,f,t,f,f,t,f,1485
24000,f,t,f,f,t,f,1486
62000,f,t,f,f,t,f,1491
83000,f,t,f,f,t,f,1492
93000,f,t,f,f,t,f,1493
97000,f,t,f,f,t,f,1494
95000,f,t,f,f,t,f,1495
-1,f,t,f,f,t,f,1496
-1,f,t,f,f,t,f,1497
-1,t,t,f,f,t,f,1498
-1,t,t,f,f,t,f,1499
89000,t,t,f,f,t,f,1500
62000,f,f,t,f,t,f,1501
-1,t,f,f,f,t,f,1502
-1,t,f,f,f,t,f,1503
-1,f,t,f,f,t,f,1504
-1,f,f,f,f,f,f,1505
-1,f,t,f,f,t,t,1506
21000,f,t,f,f,t,f,1510
22000,f,t,f,f,t,f,1511
-1,f,t,f,f,t,f,1516
25000,f,t,f,f,t,f,1538
-1,t,f,f,f,f,f,1540
25000,t,t,f,f,t,f,1542
-1,t,t,f,f,t,f,1507
-1,f,t,f,f,t,f,1508
-1,f,t,f,f,t,f,1518
-1,f,t,f,f,t,f,1521
-1,f,t,f,f,t,f,1528
-1,f,t,f,f,t,f,1532
22000,f,t,f,f,t,f,1539
-1,f,t,f,f,t,t,1509
21000,f,t,f,f,t,f,1512
36000,f,t,f,f,t,f,1514
44000,f,t,f,f,t,f,1517
22000,t,f,f,f,t,f,1522
-1,f,t,f,f,t,t,1526
-1,f,t,f,f,t,f,1531
-1,f,t,f,f,t,f,1533
-1,f,t,f,f,t,f,1536
29000,t,t,f,f,t,f,1513
-1,f,t,f,f,t,f,1515
43000,f,t,f,f,t,f,1519
23000,f,t,f,f,t,f,1524
22000,f,t,f,f,t,f,1529
-1,f,t,f,f,t,f,1534
-1,f,t,f,f,t,f,1520
23000,f,t,f,f,t,f,1523
-1,f,t,f,f,t,f,1525
-1,f,t,f,f,t,f,1527
22000,f,t,f,f,t,f,1530
-1,f,t,f,f,t,f,1535
-1,f,t,f,f,t,f,1537
22000,f,t,f,f,t,f,1563
-1,t,f,t,f,t,t,1541
22000,t,t,f,f,t,f,1543
22000,f,t,f,f,t,f,1564
21000,f,t,f,f,t,f,1544
22000,f,t,f,f,t,f,1545
24000,f,t,f,f,t,f,1546
24000,t,t,f,f,t,f,1547
21000,f,t,f,f,t,f,1565
24000,f,t,f,f,t,f,1548
24000,t,f,f,f,t,f,1549
21000,t,t,f,f,t,f,1550
22000,f,t,f,f,t,f,1566
22000,t,t,f,f,t,f,1567
22000,f,t,f,f,t,f,1551
22000,t,f,f,f,t,f,1552
22000,t,t,f,f,t,f,1553
24000,f,t,f,f,t,f,1554
19000,f,t,f,f,t,f,1555
-1,f,t,f,f,t,f,1569
21000,f,t,f,f,t,f,1556
21000,f,t,f,f,t,f,1557
23000,f,t,f,f,t,f,1558
-1,t,t,f,f,t,f,1559
21000,f,t,f,f,t,f,1560
20000,f,t,f,f,t,f,1561
22000,t,f,f,f,t,f,1562
21000,f,t,f,f,t,f,1568
-1,f,t,f,f,t,f,1570
-1,f,f,t,f,f,f,1571
21000,f,t,f,f,t,f,1572
-1,f,f,f,t,f,f,1573
22000,t,f,f,f,t,f,1574
21000,f,t,f,f,t,f,1575
22000,f,t,f,f,t,f,1576
24000,f,t,f,f,t,f,1577
-1,f,t,f,f,t,f,1583
21000,f,t,f,f,t,f,1578
-1,f,f,f,f,f,f,1580
-1,t,t,f,f,t,f,1584
22000,f,t,f,f,t,f,1579
22000,f,t,f,f,t,f,1581
